level,fullTitleVi,fullTitleEn,2017_5,2018_5,2019_5,2020_5,2021_5,2022_5,2023_5,2024_5
2,Doanh nghiệp nhà nước,State-owned companies,2790457000000.0,3846275000000.0,5811060000000.0,4784264000000.0,4078885000000.0,15487163000000.0,11644156000000.0,13069034000000.0
2,Doanh nghiệp tư nhân,Local and private companies,99386000000.0,54135000000.0,62483000000.0,194889000000.0,147299000000.0,144372000000.0,56459000000.0,304209000000.0
2,Doanh nghiệp nước ngoài,Foreign companies,2683171000000.0,2898416000000.0,3746288000000.0,4249447000000.0,4779856000000.0,4414566000000.0,9277941000000.0,10105732000000.0
2,Cá nhân,Individuals,121043844000000.0,142056460000000.0,167211978000000.0,195639720000000.0,220078834000000.0,243993976000000.0,304685334000000.0,359459676000000.0
2,Thu nhập lãi và các khoản Thu nhập tương tự,Others,44353975000000.0,52559246000000.0,54464952000000.0,72590331000000.0,85667651000000.0,94363708000000.0,128996889000000.0,150453699000000.0
1,Tài sản sinh lãi,Interest Earning Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Công nợ phải trả lãi,Interest Bearing Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Quỹ của tổ chức tín dụng,Reserves,6156928000000.0,3867846000000.0,5172684000000.0,6789643000000.0,9155896000000.0,11608569000000.0,45028627000000.0,24787305000000.0
2,Quỹ dự trữ bổ sung vốn điều lệ,Supplement capital Reserves,3983752000000.0,892289000000.0,1332891000000.0,1872102000000.0,2664436000000.0,3444639000000.0,35308682000000.0,13098701000000.0
2,Quỹ dự phòng tài chính,Financial reserve Fund,2172702000000.0,2975083000000.0,3839319000000.0,4917067000000.0,6490986000000.0,8163456000000.0,9719471000000.0,11688130000000.0
2,Quỹ đầu tư phát triển,Investment and development Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Khác,Others Fund,474000000.0,474000000.0,474000000.0,474000000.0,474000000.0,474000000.0,474000000.0,474000000.0
1,Thu nhập lãi và các khoản thu nhập tương tự,Interest and seminal income,17594504000000.0,21413626000000.0,25016341000000.0,29001912000000.0,35503251000000.0,44752636000000.0,56707759000000.0,60089462000000.0
2,Thu nhập lãi cho vay khách hàng,Interest income from loans to customers,13366312000000.0,15460433000000.0,16727930000000.0,21590084000000.0,27259759000000.0,34247955000000.0,45857719000000.0,48504247000000.0
2,Thu nhập lãi tiền gửi,Interest income from deposits,332772000000.0,606159000000.0,720962000000.0,346650000000.0,266751000000.0,1409942000000.0,1873427000000.0,2725386000000.0
2,"Thu lãi từ kinh doanh, đầu tư chứng khoán nợ",Interest income from debt securities,3532332000000.0,4140607000000.0,6794537000000.0,6252814000000.0,7068841000000.0,7885156000000.0,7241734000000.0,6431312000000.0
2,Thu lãi từ chứng khoán kinh doanh,Interest income from trading securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Thu lãi từ chứng khoán đầu tư,Interest income from investments securities,3532332000000.0,4140607000000.0,6794537000000.0,6252814000000.0,7068841000000.0,7885156000000.0,7241734000000.0,6431312000000.0
2,Thu nhập lãi cho thuê tài chính,Interest income from finance leases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Thu khác từ hoạt động tín dụng,Other Incomes from credit activities,363088000000.0,1206427000000.0,772912000000.0,812364000000.0,907900000000.0,1209583000000.0,1734879000000.0,2428517000000.0
1,Chi phí lãi và các chi phí tương tự,Interest and similar expenses,8664092000000.0,10023687000000.0,10758497000000.0,10250703000000.0,8804638000000.0,14462861000000.0,29016639000000.0,24581499000000.0
2,Trả lãi tiền gửi,Deposit interest expenses,7645664000000.0,8233723000000.0,9421181000000.0,8195501000000.0,6256038000000.0,9212164000000.0,18324288000000.0,13775447000000.0
2,Trả lãi tiền vay,Loan interest expenses,317362000000.0,436842000000.0,370407000000.0,599493000000.0,829396000000.0,3156518000000.0,7303748000000.0,5677639000000.0
2,Trả lãi phát hành trái phiếu và giấy tờ có giá,Interest expense for issuance of valuable papers,701066000000.0,1353122000000.0,966909000000.0,1419134000000.0,1635280000000.0,1897675000000.0,3136787000000.0,4794992000000.0
2,Chi phí khác cho hoạt động tín dụng,Expenses for other credit activities,0.0,0.0,0.0,36575000000.0,83924000000.0,196504000000.0,251816000000.0,333421000000.0
1,Lãi thuần từ hoạt động dịch vụ,Net Profit from services,3926084000000.0,3272580000000.0,3253353000000.0,4524940000000.0,6382240000000.0,8152605000000.0,8714897000000.0,8042248000000.0
2,Thu từ dịch vụ thanh toán,Income from Settlement services,1465532000000.0,1763054000000.0,2274253000000.0,2914167000000.0,3739055000000.0,6566746000000.0,9022626000000.0,8118354000000.0
2,Thu từ dịch vụ ngân quỹ,Income from Treasury activities,1355000000.0,2523000000.0,4566000000.0,2679000000.0,3055000000.0,287000000.0,274000000.0,190000000.0
2,Thu từ nghiệp vụ bảo lãnh,Income from Guarantee activities,374551000000.0,1160413000000.0,970323000000.0,1037650000000.0,860488000000.0,598252000000.0,359130000000.0,561259000000.0
2,Thu từ nghiệp vụ ủy thác và đại lý,Income from Agency services,1543389000000.0,212520000000.0,195282000000.0,553472000000.0,662083000000.0,710835000000.0,583047000000.0,617337000000.0
2,Thu từ hoạt động bảo hiểm,Income from Insurance activities,512882000000.0,722481000000.0,931882000000.0,827321000000.0,1558318000000.0,1750638000000.0,667334000000.0,605677000000.0
2,Thu từ dịch vụ môi giới,Income from Brokerage service,50676000000.0,118572000000.0,120524000000.0,210495000000.0,746828000000.0,753760000000.0,423435000000.0,544416000000.0
2,Thu khác,Income from Other services,571300000000.0,208754000000.0,387578000000.0,502659000000.0,669667000000.0,459819000000.0,322239000000.0,514409000000.0
2,Chi về dịch vụ thanh toán,Expenses on Settlement services,-277686000000.0,-517780000000.0,-1156493000000.0,-1336251000000.0,-1532395000000.0,-2402942000000.0,-2304495000000.0,-2559197000000.0
2,Chi về dịch vụ ngân quỹ,Expenses on Treasury activities,-53905000000.0,-58102000000.0,-65716000000.0,-68962000000.0,-71398000000.0,-74639000000.0,-61844000000.0,-62840000000.0
2,Chi về dịch vụ viễn thông,Expenses on Guarantee activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
